,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,5375,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,29.85,2505,0,0.0,0.0,1.0,0.0
1,3962,1,0,0,0,34,1,0,0,2,0,2,0,0,0,1,0,56.95,1466,0,0.0,0.0,0.0,1.0
2,2564,1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,53.85,157,1,0.0,0.0,0.0,1.0
3,5535,1,0,0,0,45,0,1,0,2,0,2,2,0,0,1,0,42.3,1400,0,1.0,0.0,0.0,0.0
4,6511,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,70.7,925,1,0.0,0.0,1.0,0.0
5,6551,0,0,0,0,8,1,2,1,0,0,2,0,2,2,0,1,99.65,6104,1,0.0,0.0,1.0,0.0
6,1002,1,0,0,1,22,1,2,1,0,2,0,0,2,0,0,1,89.1,1550,0,0.0,1.0,0.0,0.0
7,4770,0,0,0,0,10,0,1,0,2,0,0,0,0,0,0,0,29.75,2609,0,0.0,0.0,0.0,1.0
8,5604,0,0,1,0,28,1,2,1,0,0,2,2,2,2,0,1,104.8,2646,1,0.0,0.0,1.0,0.0
9,4534,1,0,0,1,62,1,0,0,2,2,0,0,0,0,1,0,56.15,3022,0,1.0,0.0,0.0,0.0
10,6871,1,0,1,1,13,1,0,0,2,0,0,0,0,0,0,1,49.95,4823,0,0.0,0.0,0.0,1.0
11,5288,1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,18.95,2836,0,0.0,1.0,0.0,0.0
12,5751,1,0,1,0,58,1,2,1,0,0,2,0,2,2,1,0,100.35,4693,0,0.0,1.0,0.0,0.0
13,174,1,0,0,0,49,1,2,1,0,2,2,0,2,2,0,1,103.7,4265,1,1.0,0.0,0.0,0.0
14,3615,1,0,0,0,25,1,0,1,2,0,2,2,2,2,0,1,105.5,2337,0,0.0,0.0,1.0,0.0
15,2556,0,0,1,1,69,1,2,1,2,2,2,2,2,2,2,0,113.25,5959,0,0.0,1.0,0.0,0.0
16,5820,0,0,0,0,52,1,0,2,1,1,1,1,1,1,1,0,20.65,46,0,0.0,0.0,0.0,1.0
17,7019,1,0,0,1,71,1,2,1,2,0,2,0,2,2,2,0,106.7,5704,0,1.0,0.0,0.0,0.0
18,2937,0,0,1,1,10,1,0,0,0,0,2,2,0,0,0,0,55.2,4416,1,0.0,1.0,0.0,0.0
19,2928,0,0,0,0,21,1,0,1,0,2,2,0,0,2,0,1,90.05,1433,0,0.0,0.0,1.0,0.0
20,6207,1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,39.65,3340,1,0.0,0.0,1.0,0.0
21,1141,1,0,1,0,12,1,0,2,1,1,1,1,1,1,1,0,19.8,1651,0,1.0,0.0,0.0,0.0
22,723,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,20.15,1609,1,0.0,0.0,0.0,1.0
23,2541,0,0,1,0,58,1,2,0,0,2,0,2,0,0,2,1,59.9,3041,0,0.0,1.0,0.0,0.0
24,4479,1,0,1,1,49,1,0,0,2,2,0,2,0,0,0,0,59.6,2567,0,0.0,1.0,0.0,0.0
25,4873,0,0,0,0,30,1,0,0,2,2,0,0,0,0,0,1,55.3,959,0,1.0,0.0,0.0,0.0
26,4584,1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,99.35,4019,1,0.0,0.0,1.0,0.0
27,6119,1,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,30.2,2592,1,0.0,0.0,1.0,0.0
28,3733,1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,90.25,5135,0,0.0,1.0,0.0,0.0
29,6199,0,0,0,1,17,1,0,0,0,0,0,0,2,2,0,1,64.7,184,1,0.0,0.0,0.0,1.0
30,2700,0,1,1,0,71,1,2,1,2,2,2,2,0,0,2,1,96.35,5354,0,0.0,1.0,0.0,0.0
31,3481,1,1,1,0,2,1,0,1,0,0,2,0,2,2,0,1,95.5,1360,0,0.0,1.0,0.0,0.0
32,4844,0,0,1,1,27,1,0,0,2,2,2,2,0,0,1,0,66.15,1449,0,0.0,0.0,0.0,1.0
33,5194,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,20.2,1610,0,1.0,0.0,0.0,0.0
34,2384,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,45.25,3815,0,1.0,0.0,0.0,0.0
35,4423,0,0,1,1,72,1,2,1,2,2,0,2,2,0,2,0,99.9,5644,0,1.0,0.0,0.0,0.0
36,4292,1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,1,69.7,2742,1,0.0,0.0,1.0,0.0
37,4656,0,0,0,0,46,1,0,1,0,0,2,0,0,0,0,1,74.8,3073,0,0.0,1.0,0.0,0.0
38,3828,1,0,0,0,34,1,2,1,0,2,2,0,2,2,0,1,106.35,3074,1,0.0,0.0,1.0,0.0
39,5803,0,0,0,0,11,1,2,1,0,0,2,0,2,2,0,1,97.85,202,1,1.0,0.0,0.0,0.0
40,6263,1,0,1,1,10,1,0,0,0,2,0,0,0,0,1,0,49.55,4024,0,0.0,0.0,0.0,1.0
41,6671,0,0,1,1,70,1,2,0,2,2,0,0,2,0,2,1,69.2,4118,0,0.0,1.0,0.0,0.0
42,6956,0,0,1,1,17,1,0,2,1,1,1,1,1,1,1,0,20.75,3572,0,0.0,0.0,0.0,1.0
43,3268,0,0,0,0,63,1,2,0,2,2,2,2,2,0,2,1,79.85,4105,0,0.0,1.0,0.0,0.0
44,2862,0,0,1,0,13,1,2,0,2,2,0,2,2,0,0,1,76.2,6503,0,0.0,0.0,1.0,0.0
45,2599,0,0,0,0,49,1,2,1,0,0,0,0,0,2,0,1,84.5,3348,0,0.0,0.0,1.0,0.0
46,4212,1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,49.25,6481,0,0.0,0.0,0.0,1.0
47,5510,0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,1,80.65,809,1,0.0,0.0,1.0,0.0
48,5427,1,0,0,0,52,1,2,0,2,0,0,2,2,2,2,1,79.75,3599,0,0.0,1.0,0.0,0.0
49,2047,0,0,1,1,69,1,2,0,2,0,2,2,0,0,2,1,64.15,3625,0,0.0,1.0,0.0,0.0
50,5686,0,1,0,0,43,1,2,1,0,2,0,0,2,0,0,1,90.25,3285,0,0.0,0.0,1.0,0.0
51,6630,0,0,0,0,15,1,0,1,2,2,0,0,2,2,0,1,99.1,789,1,0.0,1.0,0.0,0.0
52,4658,0,1,1,0,25,1,2,0,2,0,0,2,2,0,0,1,69.5,1275,0,0.0,1.0,0.0,0.0
53,5305,0,1,1,0,8,1,2,1,0,2,0,0,0,0,0,1,80.65,5113,1,0.0,1.0,0.0,0.0
54,3265,0,1,1,1,60,1,0,0,2,2,2,2,0,2,1,1,74.85,3782,0,0.0,1.0,0.0,0.0
55,1129,1,1,0,0,18,1,2,1,0,0,0,0,2,2,0,1,95.45,1274,1,0.0,0.0,1.0,0.0
56,6198,0,0,1,1,63,1,2,1,2,0,0,0,2,2,1,1,99.65,5104,0,0.0,1.0,0.0,0.0
57,3578,1,1,1,1,66,1,2,1,0,2,2,2,2,2,1,1,108.45,5555,0,0.0,0.0,1.0,0.0
58,2783,0,0,1,1,34,1,2,2,1,1,1,1,1,1,2,0,24.95,6314,0,0.0,1.0,0.0,0.0
59,4218,0,0,0,0,72,1,2,1,0,0,2,2,2,2,2,1,107.5,5937,0,0.0,1.0,0.0,0.0
60,295,0,0,1,0,47,1,2,1,0,0,2,0,2,2,0,1,100.5,3985,0,0.0,0.0,1.0,0.0
61,832,1,0,0,0,60,1,2,1,0,2,0,0,2,0,0,1,89.9,4530,0,1.0,0.0,0.0,0.0
62,358,1,0,1,0,72,0,1,0,2,2,2,0,0,0,2,0,42.1,2558,0,1.0,0.0,0.0,0.0
63,374,0,0,1,1,18,1,0,0,0,0,2,2,0,0,1,1,54.4,6459,0,0.0,1.0,0.0,0.0
64,4043,0,0,0,0,9,1,2,1,0,0,0,0,2,2,0,0,94.4,6234,1,0.0,0.0,1.0,0.0
65,3609,0,0,0,0,3,1,0,0,0,2,0,2,2,2,0,1,75.3,2086,0,0.0,0.0,1.0,0.0
66,6090,1,0,1,0,47,1,2,1,0,2,0,0,0,0,1,1,78.9,3157,0,0.0,0.0,1.0,0.0
67,2382,0,0,0,0,31,1,0,0,0,2,2,2,2,2,2,0,79.2,2143,0,0.0,0.0,0.0,1.0
68,2215,0,0,1,1,50,1,0,2,1,1,1,1,1,1,2,0,20.15,6399,0,1.0,0.0,0.0,0.0
69,5262,1,0,0,0,10,1,0,1,2,0,2,0,0,0,0,1,79.85,6290,0,0.0,0.0,0.0,1.0
70,1562,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,49.05,4137,0,0.0,0.0,0.0,1.0
71,501,0,0,1,1,52,1,0,2,1,1,1,1,1,1,1,1,20.4,181,0,0.0,0.0,1.0,0.0
72,1272,1,1,1,1,64,1,2,1,2,0,2,2,2,2,2,1,111.6,5563,0,1.0,0.0,0.0,0.0
73,5697,1,0,1,1,62,1,2,2,1,1,1,1,1,1,2,1,24.25,785,0,1.0,0.0,0.0,0.0
74,3994,0,0,0,1,3,1,0,0,2,0,0,2,0,2,0,1,64.5,1295,0,1.0,0.0,0.0,0.0
75,1836,0,1,0,0,56,1,2,1,2,2,2,0,2,2,1,0,110.5,5009,0,0.0,0.0,1.0,0.0
76,4550,0,0,0,0,46,1,0,0,0,0,0,0,0,2,1,0,55.65,2339,0,0.0,1.0,0.0,0.0
77,3970,0,0,1,1,8,1,0,0,2,2,0,0,0,0,0,0,54.65,4071,0,0.0,0.0,0.0,1.0
78,108,1,1,0,0,30,1,0,0,2,2,0,0,2,2,0,1,74.75,1742,0,0.0,0.0,1.0,0.0
79,2731,0,0,1,1,45,1,2,2,1,1,1,1,1,1,1,1,25.9,397,0,0.0,1.0,0.0,0.0
80,4191,0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,79.35,5966,1,0.0,0.0,1.0,0.0
81,5766,0,0,1,1,11,0,1,0,2,0,0,0,2,2,0,0,50.55,4676,0,0.0,0.0,1.0,0.0
82,6488,0,0,1,0,7,1,0,1,0,0,2,0,0,0,0,1,75.15,4199,1,1.0,0.0,0.0,0.0
83,6989,0,0,0,0,42,1,0,1,0,2,2,2,2,2,0,1,103.8,3682,0,1.0,0.0,0.0,0.0
84,202,0,0,1,0,49,1,0,2,1,1,1,1,1,1,2,1,20.15,6491,0,1.0,0.0,0.0,0.0
85,3100,1,0,0,0,9,1,2,1,0,2,0,0,2,2,0,1,99.3,6364,0,0.0,1.0,0.0,0.0
86,3376,0,0,1,0,35,1,0,0,2,0,0,0,2,0,1,1,62.15,1852,0,1.0,0.0,0.0,0.0
87,1258,0,0,1,1,48,1,0,2,1,1,1,1,1,1,2,0,20.65,108,0,1.0,0.0,0.0,0.0
88,1920,0,0,1,1,46,1,0,2,1,1,1,1,1,1,2,1,19.95,6382,0,0.0,0.0,0.0,1.0
89,2103,1,0,1,0,29,0,1,0,0,0,0,0,2,0,0,0,33.75,19,0,0.0,0.0,0.0,1.0
90,3345,1,0,1,1,30,1,0,1,0,2,2,0,0,0,0,0,82.05,2229,0,1.0,0.0,0.0,0.0
91,1663,1,1,0,0,1,1,0,1,0,0,0,2,0,0,0,0,74.7,5723,0,0.0,0.0,1.0,0.0
92,5137,1,0,1,1,66,1,2,0,2,0,2,2,2,2,2,1,84.0,4717,0,0.0,0.0,0.0,1.0
93,4305,0,0,0,0,65,1,2,1,2,2,2,0,2,2,0,1,111.05,5575,0,0.0,1.0,0.0,0.0
94,6945,1,0,0,0,72,1,2,1,0,2,2,0,2,2,2,1,100.9,5751,0,1.0,0.0,0.0,0.0
95,6099,0,0,0,0,12,1,2,1,2,0,0,0,0,0,0,1,78.95,6384,1,0.0,0.0,1.0,0.0
96,6908,1,0,1,1,71,1,2,0,2,2,0,2,0,0,1,1,66.85,4018,0,0.0,1.0,0.0,0.0
97,173,1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,21.05,252,1,0.0,0.0,0.0,1.0
98,2249,1,0,0,0,52,1,0,2,1,1,1,1,1,1,2,0,21.0,203,0,1.0,0.0,0.0,0.0
99,3208,0,1,1,0,25,1,0,1,0,2,2,0,2,2,0,1,98.5,2175,1,0.0,0.0,1.0,0.0
100,4530,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,20.2,1610,0,0.0,0.0,0.0,1.0
101,2575,0,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,19.45,1483,0,0.0,0.0,1.0,0.0
102,5064,1,0,0,0,38,1,2,1,0,0,2,2,2,0,1,0,95.0,3122,0,1.0,0.0,0.0,0.0
